BILLING_CODE,BILLING_DESCRIPTION,END_DATE,PLSLN_SUIT,START_DATE,ID,BUNDLE_OFFER_GROUP_ID,BUNDLE_PRODUCT_ID,MIG_STATUS,MIG_DATE,DOWNGRADE_START_DATE,BUNDLE_OFFER_CAMPAIGN_ID,CAMPAIGN_CATEGORY_ID,DISABLE_UNDO_CAMPAIGN_CHANGE,IS_BRAND_MODEL_BASED_BUNDLE,IS_MIN_USAGE_EXEMPTED,COMMIT_TRANS_ON_PROD_CHANGE,IS_INFRASTRUCTURE_BASED,CMPGN_CHANGE_END_OF_COMMITMENT,PRIORITY,PROMOCODE_OFFER_CODE,EXTRAJET_URL,UNDO_AVAILABILITY,COMMITMENT_CHECK_DAY,BTK_REP_NEEDED,SOLNET_URL,CAMPAIGN_CRITERIA_TEXT,IS_REFURBISHED_MODEM_CAMPAIGN
68556,ADSL SUPERPAKET  BAĞLANAN PAKET - 3 ay bedava seçmeli_8137916,2012-02-10 00:00:00,NO,2010-02-10 00:00:00,12SX75Q8-72B4-233P-9RH8-783350HJV2SX,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2017-12-01 16:17:06,,,,YES,,,,,,,,,DISALLOWED,,,,,
25772,"ADSL BAĞLANAN PAKET - 3 ay 9,99 TL - SOHO - Zyxel",2015-12-31 00:00:00,NO,2010-08-16 00:00:00,0007J3A3-PFC3-3KJ5-825G-14H1R6M5C0I7,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2019-01-04 18:02:59,,A182UVNR-0A7V-5Z51-KHHZ-62R941Y14182,V8364Q37-H4X7-5ZU1-760M-E5YQ22903836,YES,UNDEFINED,UNDEFINED,UNDEFINED,NO,,,,,DISALLOWED,,,,,
84356,"İştcell ADSL Kampanyası- 12 AY 19,99 TL",2012-02-02 00:00:00,NO,2010-02-02 00:00:00,346691X3-GR2N-18NO-REC0-4TZK72MGX466,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2019-01-04 18:02:53,,IO56Q71T-G799-54Y2-D8Y2-NZ15973WI25Q,V8364Q37-H4X7-5ZU1-760M-E5YQ22903836,YES,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,,,,,DISALLOWED,,,,,
75953,Fiberle Keyfini Katla Kampanyası (12 Ay taahhütlü),2012-12-31 00:00:00,NO,2011-04-27 00:00:00,4312M622-MG6S-156G-R24M-454E8ZX04312,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:18:37,,18E0QWE4-P04R-1H1Q-9044-J1H61KOUXAE0,14P8005R-367P-3APD-21J0-043A5VV1FI1G,YES,UNDEFINED,UNDEFINED,UNDEFINED,NO,,,,,ALLOWED,,,,,
14701,Superonline ADSL Bayi Çalışan Kampanyası - ses seçimlik,2018-03-31 00:00:00,NO,2010-02-10 00:00:00,6WXC3BG3-2Y47-997F-7I30-1SA6UW28609C,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2019-01-04 17:59:21,,M4WYK4Z4-S49J-2241-7Q99-37K9A22F44W2,V8364Q37-H4X7-5ZU1-760M-E5YQ22903836,YES,UNDEFINED,YES,UNDEFINED,YES,,,,,DISALLOWED,,,,,
63469,TEB ADSL SuperPaket Kampanyası,2012-03-23 00:00:00,NO,2010-03-23 00:00:00,1E7X8S69-W2C4-640U-NM62-47AR9535FEZ1,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,C1,2015-12-11 05:39:48,,,,YES,,,,,,,,,DISALLOWED,,,,,
25772,"ADSL SUPERPAKET BAĞLANAN PAKET - 3 ay 9,99 TL_7624763",2012-02-02 00:00:00,NO,2010-02-02 00:00:00,54VA521E-45O8-3U04-U066-9CB7N272HA32,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2017-12-01 16:17:33,,,,YES,,,,,,,,,DISALLOWED,,,,,
96970,Fiberle Keyfini Katla Kampanyası (Taahhütsüz),2012-06-08 00:00:00,NO,2010-04-15 00:00:00,TL6A0J4I-1830-41O9-3G1H-29LOKL579L6A,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:13:16,,18E0QWE4-P04R-1H1Q-9044-J1H61KOUXAE0,14P8005R-367P-3APD-21J0-043A5VV1FI1G,YES,UNDEFINED,UNDEFINED,UNDEFINED,UNDEFINED,,,,,ALLOWED,,,,,
11054,"ADSL SUPERPAKET - 12 AY 19,99 TL_4593665",2012-02-10 00:00:00,NO,2010-02-10 00:00:00,I544F81J-979R-25HV-2BH2-69543U0785KC,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2017-12-01 16:17:32,,,,YES,,,,,,,,,DISALLOWED,,,,,
70946,Digiturk Ortak Paket Kampanyası Modemli Yalın ADSL,2014-08-01 00:00:00,NO,2014-04-01 00:00:00,6NRX62XT-J828-7902-TH7I-25HA1UWF6995,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2019-01-04 18:02:38,,OOA288X2-7221-11AL-Y94G-Y4Q1961NOO4G,KGO4QS15-45Z7-69Y2-SOZ0-G751UV3UKG44,YES,NO,UNDEFINED,UNDEFINED,NO,,,Xxpu_WhsvltimWjagGhfnyqh,,DISALLOWED,,,,,
37286,Fiberle Keyfini Katla Kampanyası (SNT li),2012-06-01 00:00:00,NO,2011-04-27 00:00:00,17TM2RW6-1K8N-16HK-U244-S9578ICGFP9M,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:18:28,,18E0QWE4-P04R-1H1Q-9044-J1H61KOUXAE0,14P8005R-367P-3APD-21J0-043A5VV1FI1G,YES,UNDEFINED,UNDEFINED,UNDEFINED,NO,,,,,DISALLOWED,,,,,
70946,Digiturk Ortak Paket Kampanyası Modemli Yalın ADSL,2014-08-01 00:00:00,NO,2014-04-01 00:00:00,506D7NE0-XGSR-67H3-E8PW-1L87Q2E15063,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2017-12-01 16:17:30,,,,YES,,,,,,,,,DISALLOWED,,,,,
25018,Fiberle Keyfini Katla Kampanyası (24 Ay taahhütlü),2014-10-23 16:51:10,NO,2011-04-27 00:00:00,JJI7Z4B8-3O80-0DTE-927W-A214E4273J47,,MN373KQ6-569A-8XZR-7492-F53ERY458NR7,B0,2019-01-04 18:18:43,,18E0QWE4-P04R-1H1Q-9044-J1H61KOUXAE0,14P8005R-367P-3APD-21J0-043A5VV1FI1G,YES,UNDEFINED,UNDEFINED,UNDEFINED,NO,,,,,ALLOWED,,,,,
70946,Digiturk Ortak Paket Kampanyası Modemli Yalın ADSL,2014-08-01 00:00:00,NO,2014-04-01 00:00:00,W9985P25-E84K-616S-7647-NO9R78US2998,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,C1,2015-12-11 05:39:47,,,,YES,,,,,,,,,DISALLOWED,,,,,
17536,Numara Taşımalı Yalın ADSL,2013-05-31 00:00:00,NO,2012-02-15 00:00:00,Y4JDYX8B-343N-755G-P802-MUZ89301Y413,,8L6876HZ-2O2W-3SZZ-6711-7F30T96ZC96W,B0,2017-12-01 16:17:31,,,,YES,,,,,,,,,DISALLOWED,,,,,
50019,Sanal Sunucu Hizmeti,2026-01-03 00:00:00,NO,2011-09-16 00:00:00,10I760L6-I297-4809-3X74-OZ857F75P087,,64r094v7-2kw0-939i-yktl-366spg676450,M1,2015-05-06 04:28:26,,,,YES,NO,,NO,NO,NO,,,,DISALLOWED,,,,,NO
